Country,ISO Code,Data source category,Reference date (dd/mm/yyyy),year,Average household size (number of members),Households by size 1 member,"
Households by size 2-3 members",Households by size 4-5 members,Households by size 6 or more members,Average number of household members of selected ages Under age 15 years among all households,One-person,Couple only,Couple with children,Single parent with children,Single mother with children,Single father with children,Extended family,Non-relatives,Unknown,Nuclear,Multi-generation,Three generation,Skip generation
Ireland,372,DYB,7-Jan-2006,2006,2.81,22.42,46.33,25.94,5.32,NA,22.42,18.34,35.2,10.38,NA,NA,NA,NA,13.65,63.93,NA,NA,NA
Ireland,372,IPUMS,7-Jan-2006,2006,2.92,20.67,45.14,27.66,6.53,0.59,20.67,17.61,35.53,9.65,8.3,1.35,8.36,7.68,0.52,62.78,22.59,2.31,0.21
Ireland,372,LFS,7-Jan-2006,2006,2.84,21.66,46.26,26.86,5.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,372,DYB,7-Jan-2011,2011,2.73,23.7,46.87,24.98,4.45,NA,23.7,18.94,34.93,10.87,NA,NA,NA,NA,11.57,64.74,NA,NA,NA
Ireland,372,IPUMS,7-Jan-2011,2011,2.81,22.19,46.23,26.32,5.26,0.6,22.19,18.54,34.91,10.1,8.75,1.35,7.64,6.61,0.0,63.56,21.22,2.13,0.26
Ireland,372,LFS,7-Jan-2011,2011,2.77,21.58,48.05,26.21,4.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,372,IPUMS,7-Jan-2016,2016,2.83,22.02,45.38,27.39,5.2,0.6,22.02,18.26,33.75,9.74,8.42,1.32,4.58,10.39,1.25,61.76,NA,NA,NA
Isle of Man,833,DYB,7-Jan-2016,2016,2.28,30.07,51.53,16.84,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Israel,376,IPUMS,7-Jan-1972,1972,3.8,12.36,39.76,30.33,17.55,1.26,12.36,17.98,54.63,4.88,3.99,0.89,8.8,0.72,0.63,77.49,24.1,4.73,0.19
Israel,376,IPUMS,7-Jan-1983,1983,3.46,17.53,37.34,31.51,13.62,1.15,17.53,18.38,52.49,5.54,4.7,0.85,4.27,0.94,0.85,76.41,23.16,2.18,0.17
Israel,376,DYB,7-Jan-1995,1995,3.3,20.88,36.42,30.2,12.51,NA,20.88,16.21,48.04,7.43,NA,NA,NA,NA,7.45,71.67,NA,NA,NA
Israel,376,IPUMS,7-Jan-1995,1995,3.35,19.66,36.71,30.74,12.9,1,19.66,15.96,45.97,6.82,5.94,0.89,6.25,0.88,4.47,68.75,22.51,3.22,0.2
Israel,376,DYB,7-Jan-2008,2008,3.14,21.01,39.99,28.29,10.7,NA,21.01,18.4,46.15,8.49,NA,NA,NA,NA,5.95,73.05,NA,NA,NA
Italy,380,DYB,7-Jan-2001,2001,2.59,24.89,48.65,24.77,1.69,NA,24.89,20.77,41.54,8.9,NA,NA,NA,NA,3.9,71.21,NA,NA,NA
Italy,380,IPUMS,7-Jan-2001,2001,2.59,24.97,48.68,24.72,1.64,0.37,24.97,19.46,39.73,8.02,6.59,1.44,7.23,0.59,0.0,67.21,29.77,3.08,0.32
Italy,380,LFS,7-Jan-2001,2001,2.6,25.33,47.45,25.71,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,380,DYB,7-Jan-2011,2011,2.4,31.15,46.96,20.47,1.42,NA,31.15,20.19,34.67,9.91,NA,NA,NA,NA,4.07,64.77,NA,NA,NA
Italy,380,IPUMS,7-Jan-2011,2011,2.4,30.91,47.06,20.48,1.55,0.34,30.91,18.85,33.76,9.41,7.81,1.6,6.28,0.78,0.0,62.03,26.23,2.56,0.33
Italy,380,LFS,7-Jan-2011,2011,2.4,31.1,46.56,21.29,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamaica,388,IPUMS,7-Jan-1982,1982,4.23,19.19,28.96,23.45,28.4,1.64,19.19,5.75,16.54,9.74,7.46,2.27,29.72,9.9,0.17,32.02,23.14,15.84,5.31
Jamaica,388,IPUMS,7-Jan-1991,1991,3.87,19.75,31.08,26.48,22.7,1.37,19.75,6.67,20.15,11.68,9.15,2.53,32.53,7.78,1.44,38.5,25.76,16.26,4.61
Jamaica,388,IPUMS,7-Jan-2001,2001,3.45,23.3,34.96,25.4,16.34,1.14,23.3,7.19,21.55,14.02,11.29,2.73,28.22,5.72,0.0,42.77,24.33,14.08,3.67
Jamaica,388,MICS,7-Jan-2005,2005,3.29,26.07,33.63,25.29,15.01,1.01,26.07,7.19,21.18,14.54,11.4,3.13,27.77,3.07,0.18,42.91,27.63,14.09,4.23
Jamaica,388,DYB,7-Jan-2011,2011,3.06,NA,NA,NA,NA,NA,28.17,7.21,18.67,16.2,NA,NA,NA,NA,29.75,42.08,NA,NA,NA
Jamaica,388,MICS,7-Jan-2011,2011,3.18,25.24,37.24,25.33,12.18,0.88,25.24,8.07,19.66,15.34,12.32,3.02,27.7,3.98,0.01,43.07,28.38,14,3.86
Japan,392,DYB,7-Jan-2000,2000,2.67,27.6,43.94,23.71,4.76,NA,27.6,18.89,31.89,7.65,NA,NA,NA,NA,13.98,58.42,NA,NA,NA
Japan,392,DYB,7-Jan-2005,2005,2.55,29.47,45.29,21.51,3.73,NA,29.47,19.64,29.85,8.38,NA,NA,NA,NA,12.66,57.87,NA,NA,NA
Japan,392,DYB,7-Jan-2010,2010,2.42,32.38,45.42,19.35,2.85,NA,32.38,19.76,27.85,8.72,NA,NA,NA,NA,11.29,56.34,NA,NA,NA
Japan,392,DYB,7-Jan-2015,2015,2.33,34.53,45.45,17.76,2.25,NA,34.53,20.1,26.79,8.9,NA,NA,NA,NA,9.67,55.79,NA,NA,NA
Jordan,400,DHS,29/07/1997,1997,5.99,4.68,17.69,25.69,51.94,2.41,4.68,5.3,60.83,5.89,4.92,0.97,18.94,4.32,0.05,72.01,37.66,10.26,0.34
Jordan,400,DHS,16/08/2002,2002,5.68,4.54,19.27,27.2,48.99,2.18,4.54,5.75,62.39,7.34,6.24,1.11,17.55,2.43,0.0,75.48,38.76,9.99,0.3
Jordan,400,IPUMS,7-Jan-2004,2004,5.37,4.67,21.54,28.87,44.92,2.04,4.67,7.74,65.93,6.59,5.86,0.74,11.09,3.98,0.0,80.26,33.88,5.46,0.15
Jordan,400,DHS,17/08/2007,2007,5.27,5.28,20.53,29.24,44.95,1.94,5.28,6.7,67.12,6.5,5.82,0.68,10.39,4.01,0.0,80.32,35.85,5.69,0.13
Jordan,400,DHS,16/11/2009,2009,5.09,4.6,22.24,31.31,41.84,1.83,4.6,6.93,66.76,7.36,6.44,0.91,9.74,4.6,0.0,81.06,34.49,5.2,0.24
Jordan,400,DHS,29/10/2012,2012,5.07,4.35,23.01,31.46,41.18,1.77,4.35,7.45,67.76,8.06,7.41,0.65,8.68,3.7,0.0,83.27,38.23,5.3,0.36
Jordan,400,DYB,7-Jan-2015,2015,NA,6.03,25.65,33.17,35.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,400,DHS,12-Jan-2017,2017,4.72,4.36,25.76,34.91,34.97,1.55,4.36,8.45,67.52,7.64,6.76,0.88,9.94,2.08,0.02,83.61,39.36,5.43,0.26
Kazakhstan,398,DHS,7-Aug-1995,1995,3.81,11.63,36.09,34.19,18.1,1.19,11.63,11.05,40.1,8.95,7.71,1.24,26.43,1.84,0.0,60.1,31.88,16.84,1.86
Kazakhstan,398,DHS,25/08/1999,1999,3.61,13.14,38.74,32.64,15.47,1.08,13.14,12.93,42.23,10.12,9.52,0.6,20.82,0.73,0.02,65.28,29.71,14.56,1.19
Kazakhstan,398,MICS,7-Jan-2006,2006,3.52,13.01,40.96,32.43,13.61,0.85,13.01,11.6,39.1,11.63,10.69,0.94,24.38,0.27,0.0,62.33,37.45,17.07,1.46
Kazakhstan,398,DYB,7-Jan-2009,2009,3.5,14.57,38.32,30.97,16.14,NA,14.57,8.6,32.41,11.86,NA,NA,NA,NA,32.56,52.87,NA,NA,NA
Kazakhstan,398,MICS,7-Jan-2010,2010,3.45,15.75,40.49,29.79,13.98,0.86,15.75,11.78,36.28,10.14,9.4,0.74,25.21,0.84,0.0,58.2,37.53,17.34,1.28
Kazakhstan,398,MICS,7-Jan-2015,2015,3.44,15.53,41.39,28.08,15.01,0.94,15.53,13.69,33.23,9.63,8.83,0.8,27.18,0.73,0.01,56.55,37.71,19.07,1.59
Kenya,404,IPUMS,7-Jan-1969,1969,5.34,12.55,23.08,22.98,41.39,2.48,12.55,3.96,19.86,12.45,10.23,2.21,30.37,20.82,0.0,36.27,18.22,10.11,1.44
Kenya,404,IPUMS,7-Jan-1989,1989,4.9,14.05,23.62,24.23,38.1,2.36,14.05,4.03,25.5,16.11,13.99,2.12,31.08,9.02,0.2,45.65,NA,NA,NA
Kenya,404,DHS,5-Nov-1993,1993,4.8,14.48,23.14,25.25,37.13,2.35,14.48,4.17,29.38,14.62,12.96,1.66,31.27,6.01,0.07,48.17,22.52,15.39,4.07
Kenya,404,DHS,5-Jan-1998,1998,4.29,15.78,26.2,28.31,29.71,1.96,15.78,5.25,31.04,15.37,13.22,2.15,26.45,6.01,0.09,51.67,19.13,11.91,3.87
Kenya,404,IPUMS,7-Jan-1999,1999,4.43,14.46,27.18,27.37,31,1.93,14.46,4.6,24.99,14.23,12.43,1.8,33.45,8.26,0.0,43.83,NA,NA,NA
Kenya,404,MICS,7-Jan-2000,2000,5.07,3.29,22.47,37.19,37.05,2.43,3.29,1.39,42.77,14.25,12.8,1.46,29.24,4.77,4.29,58.41,NA,NA,NA
Kenya,404,DHS,20/06/2003,2003,4.36,13.99,26.41,29.71,29.89,1.94,13.99,4.96,32.66,14.72,12.92,1.8,27.14,6.45,0.08,52.34,20.49,12.59,3.76
Kenya,404,DHS,1-Apr-2009,2009,4.21,14.88,28.2,30.31,26.61,1.87,14.88,5.07,31.15,15.4,13.75,1.66,28.56,4.84,0.1,51.62,20.57,12.72,5.12
Kenya,404,IPUMS,7-Jan-2009,2009,4.29,16.61,26.48,28.17,28.74,1.85,16.61,4.32,29.6,14.36,12.41,1.95,28.26,6.85,0.0,48.28,19.78,11.08,3.75
Kenya,404,DHS,30/07/2014,2014,3.92,19.29,28.01,29.73,22.97,1.68,19.29,4.85,31.98,14.19,12.51,1.68,24.93,4.76,0.0,51.02,18,11.18,4.57
Kenya,404,DHS,26/07/2015,2015,3.64,21.6,31.06,27.84,19.49,1.54,21.6,5.44,29.62,14.91,13.08,1.83,23.89,4.5,0.04,49.97,15.4,9.96,4.62
Kenya,404,DYB,7-Jan-2019,2019,NA,20.36,28.59,27.98,23.07,NA,20.36,5.03,28.48,14.25,NA,NA,NA,NA,31.88,47.76,NA,NA,NA
Kenya,404,DHS,12-Jan-2020,2020,3.75,19.43,29.38,31.46,19.73,1.45,19.43,6.22,32.55,12.43,10.17,2.26,25.29,4.08,0.0,51.2,20.92,11.13,5.22
Kiribati,296,MICS,7-Jan-2018,2018,5.9,3.71,19.05,30.34,46.9,2.14,3.71,4.32,26.7,4.58,3.59,1,51.05,9.64,0.0,35.6,46.13,34.71,4.04
Kosovo (under UNSC res. 1244),412,MICS,7-Jan-2013,2013,5.43,3.64,16.7,37.08,42.58,1.4,3.64,5.42,41.27,4.68,4.19,0.49,44.82,0.17,0.0,51.37,64.9,36.42,0.19
Kosovo (under UNSC res. 1244),412,MICS,7-Jan-2019,2019,4.9,3.32,22.34,39.66,34.68,1.15,3.32,7.09,41.73,5.6,4.95,0.65,41.71,0.56,0.0,54.42,63.86,32.95,0.35
Kyrgyzstan,417,DHS,28/09/1997,1997,4.65,8.03,24.6,34.44,32.93,1.75,8.03,6.05,44.84,7.69,7,0.69,32.39,1,0.0,58.58,37.23,24.1,1.74
Kyrgyzstan,417,IPUMS,7-Jan-1999,1999,4.41,9.34,27.16,34.55,28.95,1.6,9.34,6.4,45.27,9.01,8.06,0.95,28.64,1.34,0.0,60.68,32.11,17.36,1.74
Kyrgyzstan,417,MICS,7-Jan-2005,2005,4.82,3.04,23.61,40.26,33.09,1.58,3.04,4.34,45.11,7.17,6.67,0.5,39.71,0.63,0.0,56.63,44.8,27.77,1.78
Kyrgyzstan,417,DYB,7-Jan-2009,2009,4.66,8.64,24.36,35.06,31.95,NA,8.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kyrgyzstan,417,IPUMS,7-Jan-2009,2009,4.6,8.55,25.46,35.11,30.88,1.39,8.55,5.15,40.4,9.03,7.93,1.1,35.25,1.62,0.0,54.58,41.35,21.18,1.69
Kyrgyzstan,417,DHS,15/10/2012,2012,4.21,8.21,30.82,36.13,24.85,1.39,8.21,6.82,34.68,8.62,7.28,1.34,41.04,0.63,0.0,50.12,41.81,26.04,4.52
Kyrgyzstan,417,MICS,7-Jan-2014,2014,4.3,8.45,29.84,34.24,27.47,1.47,8.45,7.99,36.11,8.59,7.64,0.94,38.42,0.44,0.0,52.69,42.84,28.52,3.6
Kyrgyzstan,417,MICS,7-Jan-2018,2018,4.05,12.34,31.31,31.38,24.97,1.4,12.34,8.63,32.52,8.33,7.03,1.3,37.85,0.33,0.0,49.48,42.04,27.52,4.05
Lao People's Dem. Republic,418,MICS,7-Jan-2000,2000,5.96,0.61,13.17,33.38,52.84,2.59,0.61,2.24,50.33,4.66,3.44,1.22,40.54,0.0,1.61,57.24,39.85,26.5,1.57
Lao People's Dem. Republic,418,IPUMS,7-Jan-2005,2005,5.77,1.22,15.01,34.8,48.97,2.31,1.22,2.52,49.56,4.89,3.89,1.00,NA,NA,NA,56.97,NA,NA,NA
Lao People's Dem. Republic,418,MICS,7-Jan-2006,2006,5.62,0.87,15.15,37.84,46.14,2.28,0.87,2.51,52.61,4.45,3.84,0.61,39.36,0.1,0.11,59.56,43.26,30.45,1.18
Lao People's Dem. Republic,418,MICS,7-Jan-2011,2011,5.17,2.09,20.33,40,37.58,1.9,2.09,3.56,46.96,4.33,3.35,0.98,42.64,0.41,0.02,54.85,44.05,31.39,1.93
Lao People's Dem. Republic,418,DYB,7-Jan-2015,2015,5.3,2.3,19.27,38.84,39.59,NA,2.3,3.58,43.65,4.78,NA,NA,NA,NA,45.69,52.01,NA,NA,NA
Lao People's Dem. Republic,418,MICS,7-Jan-2017,2017,4.7,3.18,24.8,42.59,29.43,1.58,3.18,5.57,45.31,5.06,4,1.06,40.51,0.37,0,55.94,43.9,29.73,3.29
Latvia,428,DYB,7-Jan-2000,2000,2.66,24.98,48.69,22.04,4.3,NA,24.98,15.46,30.14,20.29,NA,NA,NA,NA,9.13,65.89,NA,NA,NA
Latvia,428,LFS,7-Jan-2001,2001,2.44,31.25,46.57,19.54,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,428,DYB,7-Jan-2011,2011,2.38,34.42,45.42,17.04,3.13,NA,34.42,15.07,24.31,18.46,NA,NA,NA,NA,7.75,57.84,NA,NA,NA
Latvia,428,LFS,7-Jan-2011,2011,2.58,26.47,49.93,19.72,3.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,428,DYB,7-Jan-2021,2021,2.26,41.08,40.8,14.41,3.7,NA,41.08,11.23,16.57,22.07,NA,NA,NA,NA,9.04,49.87,NA,NA,NA
Lesotho,426,IPUMS,7-Jan-1996,1996,4.96,10.06,21.59,29.1,39.26,1.89,10.06,4.43,34.24,10.64,8.96,1.68,33.05,7.57,0.0,49.32,37.54,17.32,4.56
Lesotho,426,MICS,7-Jan-2000,2000,4.42,11.52,27.8,30.36,30.33,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lesotho,426,DHS,12-Aug-2004,2004,3.9,16.06,31.74,30.15,22.05,1.57,16.06,3.7,12.36,10.73,7.54,3.19,50.73,6.41,0.02,26.79,27.44,18.46,9.52
Lesotho,426,DYB,7-Jan-2006,2006,4.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lesotho,426,IPUMS,7-Jan-2006,2006,4.27,15.12,26.67,29.52,28.69,1.45,15.12,4.66,23.63,10.33,8.37,1.96,38.5,7.77,0.0,38.62,34.25,19.14,5.91
Lesotho,426,DHS,28/11/2009,2009,3.59,18.73,35.08,28.98,17.2,1.45,18.73,3.89,11.14,9.04,6.19,2.85,51.63,5.49,0.08,24.07,24.2,17.75,9.58
Lesotho,426,DHS,11-Mar-2014,2014,3.34,20.66,37.91,27.9,13.52,1.32,20.66,3.98,11.65,9.4,5.96,3.44,48.9,5.38,0.02,25.04,22.73,15.75,10.83
Lesotho,426,MICS,7-Jan-2018,2018,3.73,17.99,33.47,30.35,18.19,1.22,17.99,4.52,21.02,10.98,8.52,2.46,36.91,8.58,0.0,36.52,30.77,19.44,7.04
Liberia,430,DHS,26/02/2007,2007,5.04,7.33,22.95,33.96,35.76,2.36,7.33,3.41,29.65,8.72,6.22,2.5,46.9,3.84,0.15,41.79,25.97,21.13,4.96
Liberia,430,IPUMS,7-Jan-2008,2008,5.11,9.85,24.9,26.76,38.49,2.15,9.85,4.19,27.88,12.1,9.31,2.79,38.83,7.14,0.0,44.18,25.36,12.76,3.16
Liberia,430,DHS,29/01/2009,2009,5.58,7.05,19.66,28.88,44.42,2.69,7.05,3.01,25.54,7.4,5.05,2.35,51.91,4.91,0.19,35.95,29.9,26.71,4.72
Liberia,430,DHS,30/10/2011,2011,4.5,12.64,28.32,29.2,29.84,2.09,12.64,4.22,24.26,9.3,6.7,2.6,33.41,16.1,0.06,37.79,19.38,16.89,4.7
Liberia,430,DHS,13/05/2013,2013,4.95,9.67,24.81,28.74,36.78,2.23,9.67,4.26,24.91,7.4,5.28,2.12,48.09,5.68,0.01,36.56,25.36,21.48,5.06
Liberia,430,DHS,2-Jan-2019,2019,4.58,12,26.41,29.63,31.97,2.02,12,4.39,25.37,9.93,7.28,2.65,40.13,8.19,0.0,39.69,25.06,20.13,5.43
Liechtenstein,438,DYB,7-Jan-2010,2010,2.32,34.17,44.75,19.5,1.58,NA,34.17,23.55,29.52,7.46,NA,NA,NA,NA,5.3,60.53,NA,NA,NA
Liechtenstein,438,DYB,7-Jan-2015,2015,2.26,35.13,45.3,18.25,1.31,NA,35.13,24.63,28.15,7.57,NA,NA,NA,NA,4.51,60.36,NA,NA,NA
Lithuania,440,DYB,7-Jan-2001,2001,2.55,28.65,45.76,22.92,2.67,NA,28.65,16.34,21.55,4.82,NA,NA,NA,NA,28.64,42.71,NA,NA,NA
Lithuania,440,LFS,7-Jan-2002,2002,2.94,23.59,43.67,25.26,7.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithuania,440,DYB,7-Jan-2011,2011,2.38,31.67,47.5,18.98,1.85,NA,31.67,17.97,14.36,4.53,NA,NA,NA,NA,31.46,36.87,NA,NA,NA
Lithuania,440,LFS,7-Jan-2011,2011,2.32,34.71,45.4,18,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,442,DYB,7-Jan-2001,2001,2.51,29.3,45.26,22.81,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,442,LFS,7-Jan-2001,2001,2.52,29.28,45.11,23.05,2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luxembourg,442,DYB,7-Jan-2011,2011,2.41,33.34,43.27,20.88,2.51,NA,33.34,19.7,30.27,7.97,NA,NA,NA,NA,8.72,57.95,NA,NA,NA
Luxembourg,442,LFS,7-Jan-2011,2011,2.41,32.3,44.15,21.45,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madagascar,450,DHS,8-Aug-1992,1992,5.18,6.57,24.4,29.17,39.86,2.39,6.57,5.58,41.63,9.05,7.13,1.93,31.48,5.66,0.02,56.27,25.62,17.03,4.69
Madagascar,450,DHS,19/10/1997,1997,4.91,6.68,26.06,30.69,36.57,2.26,6.68,6.21,44.75,8.83,7.31,1.52,29.35,4.15,0.03,59.79,24.3,16.1,4.5
Madagascar,450,MICS,7-Jan-2000,2000,5.1,3.67,24.57,34.6,37.16,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madagascar,450,DHS,25/01/2004,2004,4.66,7.22,27.78,33.52,31.48,2.19,7.22,5.93,46.52,9.99,8.21,1.79,27.46,2.8,0.08,62.44,21.48,15.18,4.74
Madagascar,450,DHS,17/03/2009,2009,4.73,7.12,26.85,32.65,33.38,2.2,7.12,5.73,45.48,8.58,7.03,1.55,28.5,4.41,0.18,59.79,20.18,15.32,4.63
Madagascar,450,DHS,30/04/2011,2011,4.95,5.34,25.3,33.14,36.22,2.4,5.34,4.87,46.46,9.68,7.74,1.94,29.68,3.97,0.0,61.01,22.28,17.39,4.94
Madagascar,450,MICS,7-Jan-2018,2018,4.5,7.11,29.97,34.64,28.28,1.94,7.11,6.28,47.65,9.53,8.19,1.33,25.91,3.52,0.0,63.46,21.39,14.51,4.75
Malawi,454,IPUMS,7-Jan-1987,1987,4.26,10.82,34.69,28.08,26.4,1.97,10.82,9.14,31.86,12.26,11.24,1.03,30.6,5.32,0.0,53.26,NA,NA,NA
Malawi,454,DHS,10-Aug-1992,1992,4.47,7.87,32.18,30.2,29.75,2.09,7.87,8.83,37.92,10.45,9.79,0.65,30.38,4.5,0.05,57.2,16.79,12.49,6.73
Malawi,454,IPUMS,7-Jan-1998,1998,4.34,8.58,34.28,29.8,27.34,1.9,8.58,9.25,36.53,11.04,9.65,1.39,29.68,4.92,0.0,56.82,NA,NA,NA
Malawi,454,DHS,14/09/2000,2000,4.4,8,32.06,31.52,28.42,2.05,8,7,38.28,9.76,8.83,0.93,33.62,3.32,0.02,55.04,16.1,12.71,6.93
Malawi,454,DHS,30/11/2004,2004,4.39,8.38,29.99,33.47,28.16,2.11,8.38,6.34,38.69,9.44,8.66,0.78,34.37,2.75,0.03,54.47,14.19,11.55,8.01
Malawi,454,MICS,7-Jan-2006,2006,4.29,7.6,31.89,34.51,26.01,2.09,7.6,6.42,43.24,10.6,9.63,0.97,30.46,1.59,0.1,60.26,12.35,9.67,8.75
Malawi,454,IPUMS,7-Jan-2008,2008,4.52,7.18,29.47,33.52,29.83,2.08,7.18,6.32,44,10.45,9.56,0.88,29.84,2.21,0.0,60.77,NA,NA,NA
Malawi,454,DHS,8-Jun-2010,2010,4.64,6.77,25.99,34.88,32.35,2.26,6.77,4.24,40,10.32,9.61,0.71,35.95,2.69,0.02,54.56,16.39,13,8.28
Malawi,454,MICS,7-Jan-2013,2013,4.52,7.38,27.2,34.91,30.51,2.18,7.38,4.64,43.36,11.11,10.41,0.7,31.44,2.01,0.07,59.11,16.12,11.91,8.42
Malawi,454,DHS,6-Jan-2014,2014,4.12,9.03,31.64,36.34,22.98,1.98,9.03,6.34,43.02,11.17,8.8,2.37,29.57,0.85,0.0,60.54,11.59,8.34,8.98
Malawi,454,DHS,17/12/2015,2015,4.51,6.45,28.1,35.56,29.9,2.14,6.45,4.71,38.58,12.3,11.38,0.91,35.46,2.51,0.0,55.59,17.31,13,8.77
Malawi,454,MICS,7-Jan-2019,2019,4.28,7.2,30.06,37.64,25.1,1.93,7.2,4.8,40.3,14.66,13.57,1.09,31.85,1.19,0.0,59.76,18.23,12.13,8.07
Malaysia,458,IPUMS,7-Jan-1970,1970,4.76,8.64,28.49,27.18,35.68,2.14,8.64,7.02,44.2,12.13,10.01,2.12,20.05,7.96,0.0,63.35,NA,NA,NA
Malaysia,458,IPUMS,7-Jan-1980,1980,5.12,8.92,21.52,29.37,40.18,2.01,8.92,4.99,41.18,6.91,5.77,1.14,29.79,8.21,0.0,53.08,32.24,17.33,2.12
Malaysia,458,IPUMS,7-Jan-1991,1991,4.79,7.61,24.4,33.37,34.61,1.78,7.61,6.06,45.26,6.47,5.44,1.03,27.17,7.43,0.0,57.79,31.58,15.02,1.58
Malaysia,458,DYB,7-Jan-2000,2000,4.57,7.11,25.52,37.88,29.5,NA,7.11,7.56,54.41,3.23,NA,NA,NA,NA,27.69,65.2,NA,NA,NA
Malaysia,458,IPUMS,7-Jan-2000,2000,4.56,7.14,25.64,37.86,29.36,1.55,7.14,7.2,52.57,5.25,4.17,1.08,21.84,5.99,0.0,65.03,31.81,12.13,1.09
Maldives,462,DHS,24/05/2009,2009,6.36,2.81,14.1,29.5,53.59,1.94,2.81,3.72,26.67,5.59,4.94,0.65,46.87,14.09,0.23,35.99,53.83,36.07,0.57
Maldives,462,DYB,7-Jan-2014,2014,5.33,8.37,22.39,30.01,39.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maldives,462,DHS,21/01/2017,2017,5.4,4.49,22.28,33.5,39.73,1.61,4.49,5.58,23.89,9.03,8.4,0.63,51.21,5.75,0.05,38.5,54.15,35.86,0.55
Mali,466,IPUMS,7-Jan-1987,1987,5.65,6.01,25.77,25.92,42.3,2.49,6.01,7.52,32.73,6.64,5.58,1.06,43.03,3.91,0.17,46.88,NA,NA,NA
Mali,466,DHS,2-Apr-1996,1996,5.6,5.58,24.57,27.14,42.71,2.76,5.58,8.1,43.13,3.35,2.6,0.75,35.68,4.15,0.01,54.58,19.37,11,2.69
Mali,466,IPUMS,7-Jan-1998,1998,6.06,4.46,23.5,25.06,46.98,2.79,4.46,7.08,35.99,6.45,5.05,1.4,39.34,6.21,0.47,49.52,NA,NA,NA
Mali,466,DHS,30/03/2001,2001,5.33,7.35,25.78,27.01,39.86,2.64,7.35,7.56,40.95,6.08,4.61,1.47,33.62,4.37,0.07,54.59,15.78,8.68,2.53
Mali,466,DHS,8-Sep-2006,2006,5.69,5.04,22.12,28.06,44.78,2.79,5.04,5.79,42.49,5.4,4.5,0.9,36.44,4.84,0.0,53.68,20.68,11.71,2.82
Mali,466,DYB,7-Jan-2009,2009,NA,5.15,21.16,24.68,49.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mali,466,IPUMS,7-Jan-2009,2009,6.16,5.07,21.22,24.78,48.93,2.89,5.07,5.82,35.21,6.27,5.44,0.83,42.2,5.42,0,47.3,25.12,13.55,1.76
Mali,466,DHS,31/12/2012,2012,5.67,3.21,20.63,30.65,45.51,2.92,3.21,4.42,49.65,5.54,4.03,1.51,33.77,3.37,0.05,59.61,19.55,10.3,2.31
Mali,466,DHS,27/09/2018,2018,5.81,3.11,20.29,30.32,46.28,2.97,3.11,4.82,46.73,8.23,7.5,0.74,34.37,2.73,0.01,59.78,23.07,14.93,3.04
Malta,470,DYB,7-Jan-1995,1995,3.12,14.83,43.57,36.87,4.73,NA,14.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malta,470,DYB,7-Jan-2005,2005,2.86,18.93,47.71,30.15,3.21,NA,18.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malta,470,DYB,7-Jan-2011,2011,2.67,22.64,49.28,25.6,2.47,NA,22.64,20.17,39.85,9.28,NA,NA,NA,NA,8.06,69.3,NA,NA,NA
Malta,470,LFS,7-Jan-2011,2011,2.85,17.15,49.78,30.4,2.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martinique,474,DYB,7-Jan-2015,2015,2.25,35.51,47.64,14.89,1.96,NA,35.51,15.5,18.6,20.82,NA,NA,NA,NA,9.56,54.92,NA,NA,NA
